title,link,date,word
"국민 4명중 1명 반려동물 키워도…""혐오스런 개 놀이터 안돼""",https://www.joongang.co.kr/article/25102927,,"['국민', '명중', '명', '반려동물', '키워도', '혐오스런', '개', '놀이터', '안돼']"
"롯데워터파크, 반려견 함께하는 '댕댕 워터파크' 오픈",http://www.gimhaenews.co.kr/news/articleView.html?idxno=46521,2022.09.20.,"['롯데워터파크', '반려견', '함께하는', '댕댕', '워터파크', '오픈']"
"성유리, 집 테라스가 운동장이야..반려견 놀이터 됐네",http://biz.heraldcorp.com/view.php?ud=202208061427553334385_1,2022.09.23.,"['성유리', '집', '테라스가', '운동장이야', '반려견', '놀이터', '됐네']"
[추석특집]반려견과 함께 갈수 있는 휴게소는 없을까?,http://www.edaily.co.kr/news/newspath.asp?newsid=01079126632458480,2022.08.06.,"['추석특집', '반려견과', '함께', '갈수', '있는', '휴게소는', '없을까']"
"증평 에듀팜특구, 반려견 놀이터 일반고객에 오픈",https://www.news1.kr/articles/?4693903,2022.09.09.,"['증평', '에듀팜특구', '반려견', '놀이터', '일반고객에', '오픈']"
"춘천시, 찾아가는 반려견 이동 놀이터 운영",https://chmbc.co.kr/article/LKz-YarhpXR8TgnlRatI,2022.06.08.,"['춘천시', '찾아가는', '반려견', '이동', '놀이터', '운영']"
"춘천시, 11일부터 반려견 이동놀이터 운영",https://www.g1tv.co.kr/index.php?type=newsLine&page=1&nth=0&viewNum=267435,2022.06.09.,"['춘천시', '일부터', '반려견', '이동놀이터', '운영']"
"충주시 ""고장난 우산으로 반려견 우비 제작""",https://www.inews365.com/news/article.html?no=731634,2022.05.27.,"['충주시', '고장난', '우산으로', '반려견', '우비', '제작']"
24일 송도에서‘댕댕런’…“반려견과 잊지 못 할 가을을”,https://www.viva100.com/main/view.php?key=20220923010005844,2022.09.23.,"['일', '송도에서', '댕댕런', '반려견과', '잊지', '못', '할', '가을을']"
혼자 버스 타고 다니는 시애틀의 명견 무지개다리 건너,http://www.notepet.co.kr/news/article/article_view/?idx=26942&groupCode=AB130AD130,2022.10.20.,"['혼자', '버스', '타고', '다니는', '시애틀의', '명견', '무지개다리', '건너']"
